"","x","y"
"4214",-71.07977647,42.27598953
"4215",-71.09406516,42.28235026
"4216",-71.12199628,42.27883948
"4217",-70.97306181,42.37791228
"4218",-71.11753023,42.29835422
"4222",-71.11483938,42.2605702
"4223",-71.04229701,42.39581715
"4224",-71.0150539,42.41915
"4251",-71.05527402,42.35522224
"4279",-71.06821993,42.28996312
"4304",-71.01506987,42.38982435
"4307",-71.05807418,42.28379962
"4334",-71.01049027,42.4091189
"4352",-71.10175599,42.26493691
"4361",-71.02176522,42.41014388
"4397",-71.15111185,42.33864984
"4398",-71.12722494,42.36038731
"4399",-70.98922663,42.37486552
"4402",-71.07725493,42.29960516
"4410",-71.06480763,42.31929771
"4411",-71.00420376,42.41775445
"4412",-71.08009684,42.31721525
"4414",-71.14266824,42.35298053
"4421",-71.10809116,42.28094706
"4434",-71.03622091,42.37981756
"4435",-71.02793512,42.33485036
"4436",-71.04871306,42.33274565
"4437",-71.06306938,42.34762789
"4438",-71.08451147,42.33521239
"4439",-71.10407613,42.32827262
"4488",-71.13978896,42.29727007
"4489",-71.1708806,42.29415007
"4490",-71.16485171,42.26438122
"4491",-71.03252936,42.38766574
"4492",-71.02372066,42.39576219
"4493",-71.06809409,42.37752374
"4504",-71.0747773,42.31621636
"4540",-71.09134516,42.31468269
"4541",-71.05833845,42.31442841
"4542",-71.07416463,42.30108123
"4543",-71.07305173,42.29206826
"4544",-71.08794278,42.28493901
"4548",-71.049353,42.36010139
"4549",-71.05581349,42.2814346
"4550",-71.08139674,42.27032689
"4551",-71.12285123,42.28469776
"4557",-71.03629492,42.39241389
"4560",-70.99329377,42.38845155
"4562",-71.12198769,42.36075789
"4568",-70.99401043,42.42635653
"4569",-71.11694023,42.35222911
"4585",-71.06713046,42.35793751
"4593",-71.05644851,42.34971303
"4597",-71.10135142,42.33450435
"4598",-71.01760821,42.39637405
"4605",-71.01462326,42.34780259
"4619",-71.15122453,42.28335792
"4631",-70.99478753,42.37396257
"4632",-71.00225163,42.39666818
"4643",-71.09795265,42.33363128
"4644",-71.07919185,42.33181706
"4647",-71.04911529,42.30012964
"4648",-71.12045065,42.26573735
"4649",-71.1203491,42.29202956
"4670",-71.06608212,42.33997281
"4754",-71.07963334,42.29428463
"4782",-71.10962918,42.32999841
"4815",-71.05171094,42.36787643
"4816",-71.11753099,42.3078878
"4820",-71.1072256,42.31388028
"4821",-71.10300576,42.26227629
"4822",-71.03080235,42.4011648
"4829",-71.01595939,42.3824237
"4866",-71.04527311,42.32099525
"4867",-71.07000564,42.30736357
"4868",-71.0734611,42.28860013
"4869",-71.14060897,42.34402735
"4873",-71.13400167,42.35138416
"4876",-71.01922799,42.44364176
"4913",-71.0862522,42.34880245
"4925",-71.11145921,42.3148332
"4960",-71.06790764,42.28135536
